2026-08-05 11:48:02.819 [INFO] Temp file cleanup script started.
2026-08-05 11:48:02.819 [INFO] Mode: DryRun
2026-08-05 11:48:02.819 [INFO] DaysOld cutoff: 0
2026-08-05 11:48:02.943 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-OSArchitectureWidth.ps1
2026-08-05 11:48:02.943 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-PackageParameters.ps1
2026-08-05 11:48:02.943 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ToolsLocation.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UACEnabled.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1
2026-08-05 11:48:02.959 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1
2026-08-05 11:48:02.975 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyEnvironmentVariable.ps1
2026-08-05 11:48:02.975 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyExplorerMenuItem.ps1
2026-08-05 11:48:02.975 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyFileAssociation.ps1
2026-08-05 11:48:02.975 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyInstallPackage.ps1
2026-08-05 11:48:02.990 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPackage.ps1
2026-08-05 11:48:02.990 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPath.ps1
2026-08-05 11:48:02.990 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPinnedTaskBarItem.ps1
2026-08-05 11:48:02.990 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPowershellCommand.ps1
2026-08-05 11:48:02.990 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyShortcut.ps1
2026-08-05 11:48:02.990 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyVsixPackage.ps1
2026-08-05 11:48:03.006 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyZipPackage.ps1
2026-08-05 11:48:03.006 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-Vsix.ps1
2026-08-05 11:48:03.006 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-EnvironmentVariable.ps1
2026-08-05 11:48:03.006 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-PowerShellExitCode.ps1
2026-08-05 11:48:03.006 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Start-ChocolateyProcessAsAdmin.ps1
2026-08-05 11:48:03.006 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Test-ProcessAdminRights.ps1
2026-08-05 11:48:03.022 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-BinFile.ps1
2026-08-05 11:48:03.022 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyEnvironmentVariable.ps1
2026-08-05 11:48:03.022 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyPackage.ps1
2026-08-05 11:48:03.022 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\UnInstall-ChocolateyZipPackage.ps1
2026-08-05 11:48:03.022 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Update-SessionEnvironment.ps1
2026-08-05 11:48:03.022 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Write-FunctionCallLogMessage.ps1
2026-08-05 11:48:03.037 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe
2026-08-05 11:48:03.037 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\choco.exe.ignore
2026-08-05 11:48:03.037 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\chocolatey.exe
2026-08-05 11:48:03.037 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\chocolatey.exe.ignore
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cinst.exe
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cinst.exe.ignore
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\clist.exe
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\clist.exe.ignore
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cpush.exe
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cpush.exe.ignore
2026-08-05 11:48:03.053 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cuninst.exe
2026-08-05 11:48:03.068 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cuninst.exe.ignore
2026-08-05 11:48:03.068 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cup.exe
