2026-08-05 11:47:58.134 [INFO] Temp file cleanup script started.
2026-08-05 11:47:58.134 [INFO] Mode: Rollback
2026-08-05 11:47:58.292 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\package\services\metadata\core-properties\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp
2026-08-05 11:47:58.308 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall.ps1
2026-08-05 11:47:58.308 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateysetup.psm1
2026-08-05 11:47:58.319 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1
2026-08-05 11:47:58.324 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt
2026-08-05 11:47:58.450 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe
2026-08-05 11:47:58.450 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.ignore
2026-08-05 11:47:58.450 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest
2026-08-05 11:47:58.466 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt
2026-08-05 11:47:58.466 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt
2026-08-05 11:47:58.475 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1
2026-08-05 11:47:58.482 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1
2026-08-05 11:47:58.482 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyScriptRunner.ps1
2026-08-05 11:47:58.482 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\ChocolateyTabExpansion.ps1
2026-08-05 11:47:58.498 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Format-FileSize.ps1
2026-08-05 11:47:58.506 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-CheckSumValid.ps1
2026-08-05 11:47:58.506 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyPath.ps1
2026-08-05 11:47:58.514 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyUnzip.ps1
2026-08-05 11:47:58.514 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyWebFile.ps1
2026-08-05 11:47:58.529 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariable.ps1
2026-08-05 11:47:58.537 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariableNames.ps1
2026-08-05 11:47:58.545 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-FtpFile.ps1
2026-08-05 11:47:58.545 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-OSArchitectureWidth.ps1
2026-08-05 11:47:58.545 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-PackageParameters.ps1
2026-08-05 11:47:58.561 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ToolsLocation.ps1
2026-08-05 11:47:58.569 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UACEnabled.ps1
